government,department,programme,subprogramme,financial_year,budget_phase,value
Eastern Cape,Human Settlements,Housing Asset Management,Administration,2020,Medium Term Estimates,2827000.0
Eastern Cape,Human Settlements,Housing Asset Management,Devolution of Housing Properties,2018,Main appropriation,5426000.0
Eastern Cape,Human Settlements,Housing Asset Management,Devolution of Housing Properties,2019,Medium Term Estimates,5660000.0
Eastern Cape,Human Settlements,Housing Asset Management,Devolution of Housing Properties,2020,Medium Term Estimates,6082000.0
Eastern Cape,Human Settlements,Housing Asset Management,Housing Properties Maintenance,2018,Main appropriation,0.0
Eastern Cape,Human Settlements,Housing Asset Management,Housing Properties Maintenance,2019,Medium Term Estimates,12000.0
Eastern Cape,Human Settlements,Housing Asset Management,Housing Properties Maintenance,2020,Medium Term Estimates,13000.0
Eastern Cape,Human Settlements,Housing Asset Management,Sale and Transfer of Housing Properties,2018,Main appropriation,5382000.0
Eastern Cape,Human Settlements,Housing Asset Management,Sale and Transfer of Housing Properties,2019,Medium Term Estimates,5684000.0
Eastern Cape,Human Settlements,Housing Asset Management,Sale and Transfer of Housing Properties,2020,Medium Term Estimates,6051000.0
Eastern Cape,Human Settlements,Housing Development,Administration,2018,Main appropriation,2587000.0
Eastern Cape,Human Settlements,Housing Development,Administration,2019,Medium Term Estimates,2498000.0
Eastern Cape,Human Settlements,Housing Development,Administration,2020,Medium Term Estimates,2714000.0
Eastern Cape,Human Settlements,Housing Development,Financial Interventions,2018,Main appropriation,328809000.0
Eastern Cape,Human Settlements,Housing Development,Financial Interventions,2019,Medium Term Estimates,358190000.0
Eastern Cape,Human Settlements,Housing Development,Financial Interventions,2020,Medium Term Estimates,430639000.0
Eastern Cape,Human Settlements,Housing Development,Incremental Interventions,2018,Main appropriation,1034283000.0
Eastern Cape,Human Settlements,Housing Development,Incremental Interventions,2019,Medium Term Estimates,1052959000.0
Eastern Cape,Human Settlements,Housing Development,Incremental Interventions,2020,Medium Term Estimates,1087564000.0
Eastern Cape,Human Settlements,Housing Development,Rural Intervention,2018,Main appropriation,729487000.0
Eastern Cape,Human Settlements,Housing Development,Rural Intervention,2019,Medium Term Estimates,772231000.0
Eastern Cape,Human Settlements,Housing Development,Rural Intervention,2020,Medium Term Estimates,821540000.0
Eastern Cape,Human Settlements,Housing Development,Social and Rental Intervention,2018,Main appropriation,91228000.0
Eastern Cape,Human Settlements,Housing Development,Social and Rental Intervention,2019,Medium Term Estimates,96508000.0
Eastern Cape,Human Settlements,Housing Development,Social and Rental Intervention,2020,Medium Term Estimates,101996000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",Administration,2018,Main appropriation,2186000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",Administration,2019,Medium Term Estimates,2411000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",Administration,2020,Medium Term Estimates,2605000.0
Eastern Cape,Human Settlements,"Housing Needs, Research and Planning",Policy,2018,Main appropriation,6667000.0
