government,department,programme,subprogramme,financial_year,budget_phase,value
Gauteng,Office Of The Premier,Institutional Development,Legal Services,2018,Main appropriation,13129000.0
Gauteng,Office Of The Premier,Institutional Development,Legal Services,2019,Medium Term Estimates,13483000.0
Gauteng,Office Of The Premier,Institutional Development,Legal Services,2020,Medium Term Estimates,14225000.0
Gauteng,Office Of The Premier,Institutional Development,Programme Support,2018,Main appropriation,2210000.0
Gauteng,Office Of The Premier,Institutional Development,Programme Support,2019,Medium Term Estimates,2324000.0
Gauteng,Office Of The Premier,Institutional Development,Programme Support,2020,Medium Term Estimates,2452000.0
Gauteng,Office Of The Premier,Institutional Development,Service delivery intervention,2018,Main appropriation,45870000.0
Gauteng,Office Of The Premier,Institutional Development,Service delivery intervention,2019,Medium Term Estimates,51229000.0
Gauteng,Office Of The Premier,Institutional Development,Service delivery intervention,2020,Medium Term Estimates,54046000.0
Gauteng,Office Of The Premier,Institutional Development,Strategic Human Resources,2018,Main appropriation,85225000.0
Gauteng,Office Of The Premier,Institutional Development,Strategic Human Resources,2019,Medium Term Estimates,80655000.0
Gauteng,Office Of The Premier,Institutional Development,Strategic Human Resources,2020,Medium Term Estimates,85093000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Inter-governmental Relations,2018,Main appropriation,42385000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Inter-governmental Relations,2019,Medium Term Estimates,37404000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Inter-governmental Relations,2020,Medium Term Estimates,47558000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Programme Support,2018,Main appropriation,2497000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Programme Support,2019,Medium Term Estimates,2629000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Programme Support,2020,Medium Term Estimates,2774000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Provincial Policy Management,2018,Main appropriation,251148000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Provincial Policy Management,2019,Medium Term Estimates,274653000.0
Gauteng,Office Of The Premier,POLICY & GOVERNANCE,Provincial Policy Management,2020,Medium Term Estimates,296862000.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Communication,2018,Main appropriation,41909120.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Communication,2019,Medium Term Estimates,53711000.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Communication,2020,Medium Term Estimates,54397000.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,ED Core Business,2018,Main appropriation,164125090.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,ED Core Business,2019,Medium Term Estimates,157460000.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,ED Core Business,2020,Medium Term Estimates,170026000.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Information and Knowledge Management,2018,Main appropriation,19609150.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Information and Knowledge Management,2019,Medium Term Estimates,16597000.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Information and Knowledge Management,2020,Medium Term Estimates,17159000.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Parliamentary Business,2018,Main appropriation,33450559.999999996
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Parliamentary Business,2019,Medium Term Estimates,40047000.0
Gauteng,PROVINCIAL LEGISLATURE,Core Business,Parliamentary Business,2020,Medium Term Estimates,42101585.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,ED Corporate Support Services,2018,Main appropriation,113787780.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,ED Corporate Support Services,2019,Medium Term Estimates,112653000.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,ED Corporate Support Services,2020,Medium Term Estimates,121169000.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Institutional Support Services,2018,Main appropriation,38850680.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Institutional Support Services,2019,Medium Term Estimates,32682000.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Institutional Support Services,2020,Medium Term Estimates,33316100.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,IT and Technology,2018,Main appropriation,14136709.5
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,IT and Technology,2019,Medium Term Estimates,18016000.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,IT and Technology,2020,Medium Term Estimates,18916800.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Members Affairs,2018,Main appropriation,131839022.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Members Affairs,2019,Medium Term Estimates,143069000.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Members Affairs,2020,Medium Term Estimates,150865300.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Operational Support Services,2018,Main appropriation,39458772.949
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Operational Support Services,2019,Medium Term Estimates,48926000.0
Gauteng,PROVINCIAL LEGISLATURE,Corporate Support Services,Operational Support Services,2020,Medium Term Estimates,50872300.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Adminstrative Operations,2018,Main appropriation,3860000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Adminstrative Operations,2019,Medium Term Estimates,3524000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Adminstrative Operations,2020,Medium Term Estimates,3700000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Inter-Legislature Relations,2018,Main appropriation,7964000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Inter-Legislature Relations,2019,Medium Term Estimates,9018000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Inter-Legislature Relations,2020,Medium Term Estimates,9239000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Office of the Executive Director,2018,Main appropriation,23270000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Office of the Executive Director,2019,Medium Term Estimates,22181000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Office of the Executive Director,2020,Medium Term Estimates,23871000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Oversight and Liaison,2018,Main appropriation,1820000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Oversight and Liaison,2019,Medium Term Estimates,19381000.0
Gauteng,PROVINCIAL LEGISLATURE,Leadership and Governance,Oversight and Liaison,2020,Medium Term Estimates,20350000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,"Audit, Risk and Governance",2018,Main appropriation,1449720.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,"Audit, Risk and Governance",2019,Medium Term Estimates,1622000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,"Audit, Risk and Governance",2020,Medium Term Estimates,1687000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Chief Financial Officer,2018,Main appropriation,46785500.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Chief Financial Officer,2019,Medium Term Estimates,46040000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Chief Financial Officer,2020,Medium Term Estimates,49503000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Finance,2018,Main appropriation,476000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Finance,2019,Medium Term Estimates,240000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Finance,2020,Medium Term Estimates,250000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Supply Chain Management,2018,Main appropriation,7722000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Supply Chain Management,2019,Medium Term Estimates,10299000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the CFO,Supply Chain Management,2020,Medium Term Estimates,11256000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the Secretary,Office of the Integrity Commisioner,2018,Main appropriation,230820.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the Secretary,Office of the Integrity Commisioner,2019,Medium Term Estimates,244000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the Secretary,Office of the Integrity Commisioner,2020,Medium Term Estimates,254000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the Secretary,Office of the Secretary,2018,Main appropriation,25078800.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the Secretary,Office of the Secretary,2019,Medium Term Estimates,25720000.0
Gauteng,PROVINCIAL LEGISLATURE,Office of the Secretary,Office of the Secretary,2020,Medium Term Estimates,27197000.0
Gauteng,PROVINCIAL TREASURY,Administration,Corporate Management,2018,Main appropriation,84850000.0
Gauteng,PROVINCIAL TREASURY,Administration,Corporate Management,2019,Medium Term Estimates,95432000.0
Gauteng,PROVINCIAL TREASURY,Administration,Corporate Management,2020,Medium Term Estimates,100681000.0
Gauteng,PROVINCIAL TREASURY,Administration,Financial Management Services (CFO),2018,Main appropriation,42596000.0
Gauteng,PROVINCIAL TREASURY,Administration,Financial Management Services (CFO),2019,Medium Term Estimates,42057000.0
Gauteng,PROVINCIAL TREASURY,Administration,Financial Management Services (CFO),2020,Medium Term Estimates,43657000.0
Gauteng,PROVINCIAL TREASURY,Administration,Office of the HOD,2018,Main appropriation,13534000.0
Gauteng,PROVINCIAL TREASURY,Administration,Office of the HOD,2019,Medium Term Estimates,14927000.0
Gauteng,PROVINCIAL TREASURY,Administration,Office of the HOD,2020,Medium Term Estimates,15748000.0
Gauteng,PROVINCIAL TREASURY,Administration,Office of the MEC,2018,Main appropriation,8417000.0
Gauteng,PROVINCIAL TREASURY,Administration,Office of the MEC,2019,Medium Term Estimates,8862000.0
Gauteng,PROVINCIAL TREASURY,Administration,Office of the MEC,2020,Medium Term Estimates,9348000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Financial Information Management Systems,2018,Main appropriation,35400000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Financial Information Management Systems,2019,Medium Term Estimates,37715000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Financial Information Management Systems,2020,Medium Term Estimates,39788000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Norms and Standards,2018,Main appropriation,5213000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Norms and Standards,2019,Medium Term Estimates,5516000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Norms and Standards,2020,Medium Term Estimates,5819000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Programme Support/Office of the DDG,2018,Main appropriation,5769000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Programme Support/Office of the DDG,2019,Medium Term Estimates,6000000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Programme Support/Office of the DDG,2020,Medium Term Estimates,6332000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Provincial Accounting Services,2018,Main appropriation,59849000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Provincial Accounting Services,2019,Medium Term Estimates,60640000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Provincial Accounting Services,2020,Medium Term Estimates,63975000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Provincial Forensic Audits,2018,Main appropriation,41523000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Provincial Forensic Audits,2019,Medium Term Estimates,40705000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Provincial Forensic Audits,2020,Medium Term Estimates,42945000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Transversal Internal Audit and Risk Management,2018,Main appropriation,18659000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Transversal Internal Audit and Risk Management,2019,Medium Term Estimates,19843000.0
Gauteng,PROVINCIAL TREASURY,Financial Governance,Transversal Internal Audit and Risk Management,2020,Medium Term Estimates,20934000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Audit Centre of Excellence,2018,Main appropriation,0.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Audit Centre of Excellence,2019,Medium Term Estimates,0.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Audit Centre of Excellence,2020,Medium Term Estimates,0.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Financial Audit and Risk Compliance,2018,Main appropriation,0.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Financial Audit and Risk Compliance,2019,Medium Term Estimates,0.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Financial Audit and Risk Compliance,2020,Medium Term Estimates,0.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Performance and Computer Audit Services,2018,Main appropriation,25042000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Performance and Computer Audit Services,2019,Medium Term Estimates,32708000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Performance and Computer Audit Services,2020,Medium Term Estimates,34507000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Programme Support/Office of the DDG,2018,Main appropriation,9009000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Programme Support/Office of the DDG,2019,Medium Term Estimates,12706000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,Programme Support/Office of the DDG,2020,Medium Term Estimates,13404000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,"Risk and Compliance Audit Services( Cluster 4,5,6)",2018,Main appropriation,45513000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,"Risk and Compliance Audit Services( Cluster 4,5,6)",2019,Medium Term Estimates,48153000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,"Risk and Compliance Audit Services( Cluster 4,5,6)",2020,Medium Term Estimates,50801000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,"Risk and Compliance Audit Services( Cluster1,2,3)",2018,Main appropriation,38428000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,"Risk and Compliance Audit Services( Cluster1,2,3)",2019,Medium Term Estimates,40657000.0
Gauteng,PROVINCIAL TREASURY,Gauteng Audit Services,"Risk and Compliance Audit Services( Cluster1,2,3)",2020,Medium Term Estimates,42893000.0
Gauteng,PROVINCIAL TREASURY,Municipal Financial Governance,Local Government Financial Services,2018,Main appropriation,19971000.0
Gauteng,PROVINCIAL TREASURY,Municipal Financial Governance,Local Government Financial Services,2019,Medium Term Estimates,12136000.0
Gauteng,PROVINCIAL TREASURY,Municipal Financial Governance,Local Government Financial Services,2020,Medium Term Estimates,12804000.0
